,Beer_Name,Beer_ID,Brew_ID,ABV,IBU,Style,Ounces,Brewery_Name,City,State
875,77 Fremont Select Spring Session IPA,1174,461,0.04,9,American IPA,12,Fremont Brewing Company,Seattle, WA
876,Fremont Organic Pale Ale,1116,461,0.045,18,American Pale Ale (APA),12,Fremont Brewing Company,Seattle, WA
877,Abominable Ale,994,461,0.08,74,English Strong Ale,12,Fremont Brewing Company,Seattle, WA
878,Harvest Ale,901,461,0.065,35,Saison / Farmhouse Ale,12,Fremont Brewing Company,Seattle, WA
879,Fremont Summer Ale,875,461,0.065,45,American Pale Ale (APA),12,Fremont Brewing Company,Seattle, WA
880,Universale Pale Ale,858,461,0.056,30,American Pale Ale (APA),12,Fremont Brewing Company,Seattle, WA
881,Interurban IPA,857,461,0.065,80,American IPA,12,Fremont Brewing Company,Seattle, WA
882,Gateway Kolsch Style Ale,1300,434,0.053,32,Kölsch,12,French Broad Brewery,Asheville, NC
883,Wee-Heavy-Er Scotch Ale,1260,434,0.07,24,Scotch Ale / Wee Heavy,12,French Broad Brewery,Asheville, NC
884,13 Rebels ESB,1259,434,0.052,42,Extra Special / Strong Bitter (ESB),12,French Broad Brewery,Asheville, NC
