,Beer_Name,Beer_ID,Brew_ID,ABV,IBU,Style,Ounces,Brewery_Name,City,State
678,Half Court IPA,1786,316,0.063,21,American IPA,16,Cutters Brewing Company,Avon, IN
679,Geary's Pale Ale,1763,324,0.045,30,English Pale Ale,12,D.L. Geary Brewing Company,Portland, ME
680,Geary's Summer Ale,1311,324,0.06,25,Kölsch,12,D.L. Geary Brewing Company,Portland, ME
681,Stone of Arbroath,2078,228,0.08,74,Scotch Ale / Wee Heavy,12,DC Brau Brewing Company,Washington, DC
682,The Tradition,1809,228,0.05,15,American Blonde Ale,12,DC Brau Brewing Company,Washington, DC
683,El Hefe Speaks,1263,228,0.053,11,Hefeweizen,12,DC Brau Brewing Company,Washington, DC
684,Penn Quarter Porter,1092,228,0.055,35,American Porter,12,DC Brau Brewing Company,Washington, DC
685,On the Wings of Armageddon,851,228,0.092,115,American Double / Imperial IPA,12,DC Brau Brewing Company,Washington, DC
686,The Corruption,186,228,0.065,80,American IPA,12,DC Brau Brewing Company,Washington, DC
687,The Citizen,185,228,0.07,81,Belgian Pale Ale,12,DC Brau Brewing Company,Washington, DC
688,The Public,184,228,0.06,20,American Pale Ale (APA),12,DC Brau Brewing Company,Washington, DC
689,Dank IPA,1224,452,0.065,80,American IPA,16,Dad & Dude's Breweria,Aurora, CO
690,Dank IPA (2012),964,452,0.065,45,American IPA,16,Dad & Dude's Breweria,Aurora, CO
691,Lift Off IPA,1623,359,0.072,60,American IPA,16,Daredevil Brewing Company,Shelbyville, IN
692,BrewFarm Select Golden Lager,110,555,0.055,52,American Pale Lager,12,Dave's Brewfarm,Wilson, WI
693,Sprocket Blonde Ale (2006),1735,334,0.05,32,American Blonde Ale,12,David's Ale Works,Diamond Springs, CA
694,Sprocket Pale Ale (2006),1734,334,0.05,40,American Pale Ale (APA),12,David's Ale Works,Diamond Springs, CA
695,Dead Armadillo Amber Ale,1746,331,0.063,37,American Amber / Red Ale,12,Dead Armadillo Craft Brewing,Tulsa, OK
696,Neato Bandito,2371,128,0.06,48,Euro Pale Lager,12,Deep Ellum Brewing Company,Dallas, TX
697,Oak Cliff Coffee Ale,2251,128,0.075,33,American Brown Ale,12,Deep Ellum Brewing Company,Dallas, TX
698,Dream Crusher Double IPA,2166,128,0.085,100,American Double / Imperial IPA,12,Deep Ellum Brewing Company,Dallas, TX
699,Deep Ellum Pale Ale,1827,128,0.06,30,American Pale Ale (APA),12,Deep Ellum Brewing Company,Dallas, TX
700,Double Brown Stout,1203,128,0.07,65,Baltic Porter,12,Deep Ellum Brewing Company,Dallas, TX
701,Farmhouse Wit,1202,128,0.048,25,Saison / Farmhouse Ale,16,Deep Ellum Brewing Company,Dallas, TX
702,Rye Pils Session Lager,1161,128,0.046,19,German Pilsener,12,Deep Ellum Brewing Company,Dallas, TX
703,Dallas Blonde,946,128,0.052,23,American Blonde Ale,12,Deep Ellum Brewing Company,Dallas, TX
704,Deep Ellum IPA,943,128,0.07,70,American IPA,12,Deep Ellum Brewing Company,Dallas, TX
705,Thrasher Session India Pale Ale,1886,284,0.045,44,American IPA,12,Defiance Brewing Company,Hays, KS
706,Gutch English Style Mild Ale,1885,284,0.05,16,English Pale Mild Ale,12,Defiance Brewing Company,Hays, KS
707,Chuli Stout,1213,454,0.059,55,Irish Dry Stout,12,Denali Brewing Company,Talkeetna, AK
708,Mother Ale,1159,454,0.056,46,American Blonde Ale,12,Denali Brewing Company,Talkeetna, AK
709,Twister Creek India Pale Ale,947,454,0.065,71,American IPA,12,Denali Brewing Company,Talkeetna, AK
710,Single Engine Red,929,454,0.058,46,Irish Red Ale,12,Denali Brewing Company,Talkeetna, AK
711,Incredible Pedal IPA,1944,264,0.07,51,American IPA,12,Denver Beer Company,Denver, CO
712,Graham Cracker Porter,1943,264,0.05,40,American Porter,12,Denver Beer Company,Denver, CO
713,Mirror Pond Pale Ale,1210,455,0.05,40,American Pale Ale (APA),12,Deschutes Brewery,Bend, OR
714,Weissenheimer,2550,58,0.052,16,Hefeweizen,12,Destihl Brewery,Bloomington, IL
715,Abbey's Single (2015- ),2505,58,0.049,22,Abbey Single Ale,12,Destihl Brewery,Bloomington, IL
716,Vertex IPA,2025,58,0.063,76,American IPA,12,Destihl Brewery,Bloomington, IL
717,Here Gose Nothin',2021,58,0.05,12,Gose,12,Destihl Brewery,Bloomington, IL
718,Strawberry Blonde,2015,58,0.05,31,Fruit / Vegetable Beer,12,Destihl Brewery,Bloomington, IL
719,Hoperation Overload,1888,58,0.096,85,American Double / Imperial IPA,12,Destihl Brewery,Bloomington, IL
720,Abbey's Single Ale (Current),1887,58,0.049,22,Abbey Single Ale,12,Destihl Brewery,Bloomington, IL
721,Bravo Four Point,2051,238,0.044,45,American Pale Ale (APA),12,Devil's Backbone Brewing Company,Lexington, VA
722,Striped Bass Pale Ale,1201,238,0.052,26,American Pale Ale (APA),12,Devil's Backbone Brewing Company,Lexington, VA
723,Deadicated Amber,924,492,0.054,27,American Amber / Red Ale,16,Devil's Canyon Brewery,Belmont, CA
724,Kaleidoscope Collaboration 2012,731,492,0.056,10,American Black Ale,16,Devil's Canyon Brewery,Belmont, CA
725,California Sunshine Rye IPA,730,492,0.071,85,American IPA,16,Devil's Canyon Brewery,Belmont, CA
726,Full Boar Scotch Ale,647,492,0.074,12,Scotch Ale / Wee Heavy,16,Devil's Canyon Brewery,Belmont, CA
727,12 Man Pale Ale,1773,320,0.045,12,American Pale Ale (APA),12,Dick's Brewing Company,Centralia, WA
728,Filthy Hoppin' IPA,1795,312,0.065,72,American IPA,16,Dirty Bucket Brewing Company,Woodinville, WA
729,Dock Street Amber Beer (1992),944,489,0.063,69,American Amber / Red Ale,12,Dock Street Brewery,Philadelphia, PA
730,Dolores River Hefeweizen,524,532,0.055,30,Hefeweizen,16,Dolores River Brewery,Dolores, CO
731,Dolores River ESB,450,532,0.052,32,Extra Special / Strong Bitter (ESB),16,Dolores River Brewery,Dolores, CO
732,Snaggletooth Double Pale Ale,449,532,0.08,60,American Double / Imperial IPA,16,Dolores River Brewery,Dolores, CO
733,Dolores River Pale Ale,448,532,0.06,20,American Pale Ale (APA),16,Dolores River Brewery,Dolores, CO
734,Dolores River Dry Stout,447,532,0.063,37,Irish Dry Stout,16,Dolores River Brewery,Dolores, CO
735,Dolores River Mild,446,532,0.085,50,English Dark Mild Ale,16,Dolores River Brewery,Dolores, CO
736,Cranberry Blend,1246,447,0.049,20,Cider,12,Downeast Cider House,Leominster, MA
737,Orignal Blend,977,447,0.051,18,Cider,12,Downeast Cider House,Leominster, MA
738,Hop Abomination,881,497,0.066,100,American IPA,12,Dry Dock Brewing Company,Aurora, CO
739,Apricot Blonde,880,497,0.051,17,Fruit / Vegetable Beer,12,Dry Dock Brewing Company,Aurora, CO
740,Dry Dock Hefeweizen,872,497,0.043,12,Hefeweizen,12,Dry Dock Brewing Company,Aurora, CO
741,Dry Dock Amber Ale,871,497,0.058,49,American Amber / Red Ale,12,Dry Dock Brewing Company,Aurora, CO
742,Category 3 IPA,1685,341,0.061,64,American IPA,12,Due South Brewing Company,Boynton Beach, FL
743,Dundee Summer Wheat Beer,457,539,0.045,18,American Pale Wheat Ale,12,Dundee Brewing Company,Rochester, NY
744,Pumpkin Patch Ale,1590,370,0.05,20,Pumpkin Ale,16,Eddyline Brewery & Restaurant,Buena Vista, CO
745,Crank Yanker IPA,1382,370,0.078,74,American IPA,16,Eddyline Brewery & Restaurant,Buena Vista, CO
746,River Runners Pale Ale,1110,370,0.06,50,American Pale Ale (APA),16,Eddyline Brewery & Restaurant,Buena Vista, CO
747,Pumpkin Patch Ale (2012),1014,370,0.05,17,Pumpkin Ale,16,Eddyline Brewery & Restaurant,Buena Vista, CO
748,Mountain Fairy Raspberry Wheat,911,370,0.055,18,Fruit / Vegetable Beer,16,Eddyline Brewery & Restaurant,Buena Vista, CO
749,Boater Beer,680,370,0.045,17,German Pilsener,16,Eddyline Brewery & Restaurant,Buena Vista, CO
750,Crank Yanker IPA (2011),395,370,0.078,74,American IPA,16,Eddyline Brewery & Restaurant,Buena Vista, CO
751,Bleeding Buckeye Red Ale,1642,353,0.057,20,Extra Special / Strong Bitter (ESB),16,Elevator Brewing Company,Columbus, OH
752,Dottie Seattle Lager,673,517,0.049,25,American Amber / Red Lager,16,Emerald City Beer Company,Seattle, WA
753,Nut Sack Imperial Brown Ale,1107,466,0.07,65,American Brown Ale,12,Engine 15 Brewing,Jacksonville Beach, FL
754,Underachiever,1039,474,0.05,32,American Adjunct Lager,16,Engine House 9,Tacoma, WA
755,Lil' Brainless Raspberries,2477,82,0.052,26,Fruit / Vegetable Beer,12,Epic Brewing,Denver, CO
756,Element 29,2008,82,0.052,40,American Pale Ale (APA),12,Epic Brewing,Denver, CO
757,Hop Syndrome,2004,82,0.05,45,American Pale Lager,12,Epic Brewing,Denver, CO
758,Escape to Colorado,2003,82,0.062,40,American IPA,12,Epic Brewing,Denver, CO
759,Little Sister India Style Session Ale,2292,171,0.043,60,American IPA,12,Everybody's Brewing,White Salmon, WA
760,Country Boy IPA,1504,171,0.062,80,American IPA,12,Everybody's Brewing,White Salmon, WA
761,Blonde Czich,2604,27,0.049,23,American Blonde Ale,16,Evil Czech Brewery,Mishawaka, IN
762,White Reaper,2432,27,0.07,61,Belgian IPA,16,Evil Czech Brewery,Mishawaka, IN
763,Bobblehead,2431,27,0.051,25,American Pale Wheat Ale,16,Evil Czech Brewery,Mishawaka, IN
764,Lucky Dog,2430,27,0.052,16,American Pale Ale (APA),16,Evil Czech Brewery,Mishawaka, IN
765,Voodoo,2429,27,0.048,30,American Porter,16,Evil Czech Brewery,Mishawaka, IN
766,General George Patton Pilsner,1967,27,0.054,48,Czech Pilsener,16,Evil Czech Brewery,Mishawaka, IN
767,Nomader Weiss,2283,174,0.04,35,Berliner Weissbier,12,Evil Twin Brewing,Brooklyn, NY
768,Molotov Lite,2248,174,0.085,23,American Double / Imperial IPA,16,Evil Twin Brewing,Brooklyn, NY
769,Hipster Ale (Two Roads Brewing),1287,174,0.055,30,American Pale Ale (APA),12,Evil Twin Brewing,Brooklyn, NY
770,Bikini Beer,1286,174,0.027,7,American IPA,12,Evil Twin Brewing,Brooklyn, NY
